subj,inclusive_location,surface_location
cat,kennel,mat
cat,drain,mat
man,room,chair
apple,basket,table
rat,hole,ground
man,car,floor
man,house,roof
cat,box,sofa
book,box,shelf
fork,drawer,table
Book,Bag,Desk
Bird,Nest,Branch
Dog,cage,porch
Car,Garage,Driveway
Shoe,Closet,Floor
Hat,Wardrobe,Chair
Phone,Drawer,Table
Fish,bowl,Rock
Bee,Hive,Flower
Laptop,bag,Desk
Key,Pocket,shelf
Bottle,Fridge,Shelf
Ball,Box,Grass
Mouse,Hole,Table
Frog,Pond,leaf
Towel,Cabinet,Rack
Clock,Drawer,Wall
Toy,box,Carpet
carpet,bin,step
Pen,Case,desk
Jacket,Closet,Chair
Plate,sink,shelf
Wallet,Bag,shelf
Candle,Drawer,Shelf
stick,Stand,Ground
Egg,Nest,ground
pillow,closet,Bed
blanket,closet,bed
Ant,hole,Leaf
Bat,Cave,Wire
Box,Shed,Bench
Cup,sink,Desk
Hat,drawer,Stool
Bag,Locker,Bench
Rat,Sewer,Pipe
Egg,Crate,Pan
Fan,Closet,Table
Jug,Sink,Tray
Key,Safe,Bench
Map,Drawer,Rock
Pad,box,Chair
Nut,Jar,Log
Owl,Hollow,Fence
Pen,Tin,Pad
Shoe,bag,rack
Can,Fridge,table
Drum,Case,Floor
Glove,Box,Log
Ball,bin,floor
Mask,Bag,Bed
Torch,Tent,Rock
Soap,Dish,Sink
Lamp,Box,Stand
Tape,Drawer,Desk
Coin,Purse,Table
Bell,Tower,Gate
Cloth,Trunk,Chair
Stick,Den,Log
Pig,Pen,Mud
Fox,Den,Rock
Bee,Box,Twig
Hen,Coop,Hay
Bat,Barn,Post
Cow,Shed,hill
Rat,Hole,floor
Bug,jar,leaf
Frog,Pit,Log
Ram,Barn,Cliff
Owl,Loft,Beam
Elk,Cave,Snow
Yak,Tent,Ridge
Cub,Lair,Tree
Lid,Box,Sink
Jar,Crate,ledge
Mat,Hut,Porch
Bag,car,Sand
Pan,sink,stove
Pot,sink,Stove
Mug,Sink,rack
Rug,crate,Step
Cap,Peg,Log
Rod,Shed,Dock
Net,Hut,Boat
Pen,Box,Book
Ink,Tray,Desk
Gun,Case,Bench
Toy,Crib,Chair
Box,Loft,Step
Van,Lot,Road
Car,Pit,Hill
Jug,Cart,Stove
Saw,Shed,table
Bat,cave,wall
Nail,Bag,Shelf
Bar,Case,Wall
Tug,Bay,Pier
Oil,Can,bread
Cup,sink,tray
Bow,Box,Hook
Tie,Hook,Rod
hawk,Nest,Roof
man,car,bike
girl,hall,stairs
fish,basin,shore
bird,cage,Branch
worm,hole,ground
axe,shed,log
worm,jar,leaf
child,crib,bed
key,car,table
fly,soup,spoon
pizza,oven,plate
drink,glass,table
paper,box,floor
deer,forest,rock
wolf,forest,hill
key,purse,table
trash,bin,ground
car,garage,road
bottle,fridge,table
phone,pocket,table
scarf,closet,seat
pc,box,desk
robin,cage,tree
skirt,wardrobe,chair
clothes,closet,sofa
squirrel,park,tree
man,park,bench
monkey,zoo,tree
monkey,forest,branch
priest,church,altar
sailor,see,ship
container,bay,dock
flag,trunk,mast
gold,trunk,scales
steak,pot,plate
hammer,case,board
cigar,case,holder
train,tunnel,rail
cargo,shed,ship
priest,temple,pulpit
patient,hospital,stretcher
statue,museum,pedestal
show,theater,stage
concert,hall,stage
train,station,platform


